otu;size;identity;phylum;class;order;family;genus;genus_0;genus_1
Otu052;5;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu053;5;Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu054;3;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu055;3;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu056;3;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(67);Clostridiales_unclassified(67);Clostridiales_unclassified(67);Clostridiales_unclassified(67);
Otu057;2;Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteridae(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);Bifidobacterium_unclassified(100);
Otu058;2;Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu059;2;Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);Deinococcus_unclassified(100);Deinococcus_unclassified(100);
Otu060;2;Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);Deinococcus_unclassified(100);Deinococcus_unclassified(100);
Otu061;2;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu062;2;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu063;2;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu064;2;Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu065;2;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);
Otu066;1;Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu067;1;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu068;1;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu069;1;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu070;1;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu071;1;Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);Deinococcus_unclassified(100);Deinococcus_unclassified(100);
Otu072;1;Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu073;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillus(100);Bacillus_unclassified(100);Bacillus_unclassified(100);
Otu074;1;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);Escherichia/Shigella_unclassified(100);Escherichia/Shigella_unclassified(100);
Otu075;1;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);Escherichia/Shigella_unclassified(100);Escherichia/Shigella_unclassified(100);
Otu076;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu077;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu078;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu079;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu080;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);
Otu081;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu082;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu083;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu084;1;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);Escherichia/Shigella_unclassified(100);Escherichia/Shigella_unclassified(100);
